knn_type,k,distance,accuracy,precision,recall,sensitivity
bagging,3,Cosine,0.35,0.39,0.35,0.74
bagging,3,Euclidean,0.9,0.91,0.9,0.87
bagging,3,Jaccard,0.5,0.5,0.5,0.68
bagging,3,Mahalanobis,0.54,0.75,0.54,0.67
bagging,3,Manhattan,0.91,0.92,0.91,0.87
bagging,5,Cosine,0.34,0.43,0.34,0.64
bagging,5,Euclidean,0.85,0.85,0.85,0.87
bagging,5,Jaccard,0.38,0.32,0.38,0.55
bagging,5,Mahalanobis,0.54,0.75,0.54,0.67
bagging,5,Manhattan,0.88,0.88,0.88,0.87
bagging,7,Cosine,0.31,0.18,0.31,0.65
bagging,7,Euclidean,0.81,0.81,0.81,0.87
bagging,7,Jaccard,0.36,0.31,0.36,0.56
bagging,7,Mahalanobis,0.54,0.75,0.54,0.67
bagging,7,Manhattan,0.88,0.88,0.88,0.87
bagging,9,Cosine,0.44,0.42,0.44,0.91
bagging,9,Euclidean,0.82,0.83,0.82,0.87
bagging,9,Jaccard,0.39,0.37,0.39,0.59
bagging,9,Mahalanobis,0.54,0.75,0.54,0.67
bagging,9,Manhattan,0.87,0.87,0.87,0.87
base,3,Eucledian,0.9,0.91,0.9,0.87
base,5,Eucledian,0.85,0.85,0.85,0.87
base,7,Eucledian,0.81,0.81,0.81,0.87
base,9,Eucledian,0.82,0.83,0.82,0.87
