knn_type,k,distance,accuracy,precision,recall,sensitivity
bagging,3,Cosine,0.41,0.76,0.41,0.0
bagging,3,Euclidean,0.55,0.53,0.55,0.7
bagging,3,Jaccard,0.41,0.76,0.41,0.0
bagging,3,Mahalanobis,0.41,0.76,0.41,0.0
bagging,3,Manhattan,0.56,0.54,0.56,0.71
bagging,5,Cosine,0.41,0.76,0.41,0.0
bagging,5,Euclidean,0.56,0.54,0.56,0.73
bagging,5,Jaccard,0.41,0.76,0.41,0.0
bagging,5,Mahalanobis,0.41,0.76,0.41,0.0
bagging,5,Manhattan,0.57,0.56,0.57,0.75
bagging,7,Cosine,0.41,0.76,0.41,0.0
bagging,7,Euclidean,0.56,0.53,0.56,0.75
bagging,7,Jaccard,0.41,0.76,0.41,0.0
bagging,7,Mahalanobis,0.41,0.76,0.41,0.0
bagging,7,Manhattan,0.58,0.56,0.58,0.79
bagging,9,Cosine,0.47,0.55,0.47,0.31
bagging,9,Euclidean,0.56,0.53,0.56,0.78
bagging,9,Jaccard,0.47,0.76,0.47,0.33
bagging,9,Mahalanobis,0.47,0.76,0.47,0.33
bagging,9,Manhattan,0.58,0.56,0.58,0.8
base,3,Eucledian,0.55,0.53,0.55,0.7
base,5,Eucledian,0.56,0.54,0.56,0.73
base,7,Eucledian,0.56,0.53,0.56,0.75
base,9,Eucledian,0.56,0.53,0.56,0.78
features,3,Eucledian Features,0.52,0.5,0.52,0.64
features,5,Eucledian Features,0.54,0.52,0.54,0.69
features,7,Eucledian Features,0.55,0.53,0.55,0.69
features,9,Eucledian Features,0.56,0.54,0.56,0.73
