knn_type,k,distance,accuracy,precision,recall,sensitivity
bagging,3,Cosine,0.65,0.77,0.65,1.0
bagging,3,Euclidean,0.94,0.94,0.94,0.97
bagging,3,Jaccard,0.03,0.03,0.03,0.01
bagging,3,Mahalanobis,0.65,0.77,0.65,1.0
bagging,3,Manhattan,0.96,0.96,0.96,0.97
bagging,5,Cosine,0.65,0.77,0.65,1.0
bagging,5,Euclidean,0.89,0.9,0.89,0.96
bagging,5,Jaccard,0.03,0.04,0.03,0.02
bagging,5,Mahalanobis,0.65,0.77,0.65,1.0
bagging,5,Manhattan,0.95,0.95,0.95,0.98
bagging,7,Cosine,0.65,0.77,0.65,1.0
bagging,7,Euclidean,0.87,0.87,0.87,0.96
bagging,7,Jaccard,0.04,0.04,0.04,0.03
bagging,7,Mahalanobis,0.55,0.77,0.55,0.67
bagging,7,Manhattan,0.92,0.93,0.92,0.98
bagging,9,Cosine,0.65,0.77,0.65,1.0
bagging,9,Euclidean,0.84,0.85,0.84,0.96
bagging,9,Jaccard,0.03,0.04,0.03,0.03
bagging,9,Mahalanobis,0.55,0.77,0.55,0.67
bagging,9,Manhattan,0.91,0.91,0.91,0.98
base,3,Eucledian,0.94,0.94,0.94,0.97
base,5,Eucledian,0.9,0.9,0.9,0.96
base,7,Eucledian,0.87,0.87,0.87,0.96
base,9,Eucledian,0.84,0.85,0.84,0.96
