test_split,k,accuracy,distance
0.3,5,0.6487804878048781,Mahalanobis
0.3,6,0.8829268292682927,Euclidean
0.3,6,0.6487804878048781,Cosine
0.3,6,0.9219512195121952,Manhattan
0.3,6,0.024390243902439025,Jaccard
0.3,6,0.6487804878048781,Mahalanobis
0.3,7,0.8829268292682927,Euclidean
0.3,7,0.6487804878048781,Cosine
0.3,7,0.926829268292683,Manhattan
0.3,7,0.02926829268292683,Jaccard
0.3,7,0.35121951219512193,Mahalanobis
0.3,8,0.8536585365853658,Euclidean
0.3,8,0.6487804878048781,Cosine
0.3,8,0.9121951219512195,Manhattan
0.3,8,0.024390243902439025,Jaccard
0.3,8,0.35121951219512193,Mahalanobis
0.3,9,0.8536585365853658,Euclidean
0.3,9,0.6487804878048781,Cosine
0.3,9,0.9121951219512195,Manhattan
0.3,9,0.024390243902439025,Jaccard
0.3,9,0.35121951219512193,Mahalanobis
0.3,10,0.8341463414634146,Euclidean
0.3,10,0.6487804878048781,Cosine
0.3,10,0.9121951219512195,Manhattan
0.3,10,0.024390243902439025,Jaccard
0.3,10,0.35121951219512193,Mahalanobis
0.4,1,0.9525547445255474,Euclidean
0.4,1,0.6277372262773723,Cosine
0.4,1,0.9525547445255474,Manhattan
0.4,1,0.10583941605839416,Jaccard
0.4,1,0.6277372262773723,Mahalanobis
0.4,2,0.9051094890510949,Euclidean
0.4,2,0.6277372262773723,Cosine
0.4,2,0.9124087591240876,Manhattan
0.4,2,0.09124087591240876,Jaccard
0.4,2,0.6277372262773723,Mahalanobis
0.4,3,0.9197080291970803,Euclidean
0.4,3,0.6277372262773723,Cosine
0.4,3,0.9416058394160584,Manhattan
0.4,3,0.040145985401459854,Jaccard
0.4,3,0.6277372262773723,Mahalanobis
0.4,4,0.8795620437956204,Euclidean
0.4,4,0.6277372262773723,Cosine
0.4,4,0.9233576642335767,Manhattan
0.4,4,0.043795620437956206,Jaccard
0.4,4,0.6277372262773723,Mahalanobis
0.4,5,0.8832116788321168,Euclidean
0.4,5,0.6277372262773723,Cosine
0.4,5,0.9416058394160584,Manhattan
0.4,5,0.043795620437956206,Jaccard
0.4,5,0.6277372262773723,Mahalanobis
0.4,6,0.8321167883211679,Euclidean
0.4,6,0.6277372262773723,Cosine
