knn_type,k,distance,accuracy,precision,recall,sensitivity
bagging,3,Cosine,0.21,0.2,0.21,0.08
bagging,3,Euclidean,0.79,0.79,0.79,0.79
bagging,3,Jaccard,0.55,0.53,0.55,0.68
bagging,3,Mahalanobis,0.58,0.76,0.58,1.0
bagging,3,Manhattan,0.82,0.82,0.82,0.83
bagging,5,Cosine,0.21,0.2,0.21,0.08
bagging,5,Euclidean,0.79,0.8,0.79,0.8
bagging,5,Jaccard,0.51,0.5,0.51,0.64
bagging,5,Mahalanobis,0.5,0.76,0.5,0.33
bagging,5,Manhattan,0.8,0.8,0.8,0.82
bagging,7,Cosine,0.21,0.2,0.21,0.1
bagging,7,Euclidean,0.79,0.79,0.79,0.8
bagging,7,Jaccard,0.53,0.53,0.53,0.65
bagging,7,Mahalanobis,0.56,0.76,0.56,0.67
bagging,7,Manhattan,0.79,0.8,0.79,0.81
bagging,9,Cosine,0.22,0.22,0.22,0.17
bagging,9,Euclidean,0.77,0.78,0.77,0.75
bagging,9,Jaccard,0.47,0.48,0.47,0.59
bagging,9,Mahalanobis,0.44,0.76,0.44,0.33
bagging,9,Manhattan,0.83,0.84,0.83,0.87
base,3,Eucledian,0.79,0.79,0.79,0.79
base,5,Eucledian,0.79,0.8,0.79,0.8
base,7,Eucledian,0.79,0.79,0.79,0.8
base,9,Eucledian,0.77,0.78,0.77,0.75
